,FFT_Freq_Diff,FFT_Max_Amplitude,FFT_Max_Frequency,FFT_Min_Amplitude,FFT_Min_Frequency,FFT_Phase,Max_Zero_Crossing,Mean_Abs_Change,Poly_Coeff_A,Poly_Coeff_B,Poly_Coeff_C,Poly_Coeff_D,Poly_Coeff_E,Skewness,Zero_Crossing_Rate,Zero_Crossings
0,-119.17242089633326,616.0062237055275,9.931035074694439,42.57859280953032,129.1034559710277,1.610086172263064,1728.0001029968362,5.7,159.66497983151223,65.3935275447345,24.31077040754006,-4.54226206721245,-29.708351724055884,-0.06858052782933255,0.18333333333333332,5.0
1,-119.17238493624103,1047.0831058210267,9.931032078020086,2.222386771001713,129.1034170142611,3.141592653589793,3456.0001287460914,9.866666666666667,189.63596298422036,-21.30677964830925,-325.9854512864958,29.688317045180284,197.86766621296962,0.15197340595597914,0.11666666666666667,3.0
2,-119.17242089633328,231.06140644784398,19.862070149388877,9.02593476949369,139.03449104572215,3.067479180099707,2591.999594450085,5.133333333333334,249.1166896125505,-22.171931613612045,-8.206552438982646,45.74434873901102,-29.74914695306609,-0.5276211050917765,0.18333333333333332,3.0
3,-39.724138966922126,137.58658497286967,29.793104225191595,6.564856671223814,69.51724319211372,3.141592653589793,2304.0001373291097,5.6,113.9843661592779,15.434102311248237,-73.80608386279492,-38.3895029630035,68.71657687193526,0.23370106821987152,0.2833333333333333,8.0
4,-129.1034559710277,445.2147644553072,9.931035074694439,35.251704294755015,139.03449104572215,1.6347572276839843,1727.9997167587917,4.8,124.90013892330505,45.74390760442155,-26.100849566728638,0.16817707780045582,43.237928079000575,0.2819482921140668,0.13333333333333333,3.0
5,-109.24138582163883,895.2871353294794,9.931035074694439,19.02925753731059,119.17242089633326,2.749952927888859,-2304.0001759529255,8.633333333333333,194.24781763332635,27.80279037831038,-261.77894030167806,-4.812280727187429,155.44814321566747,0.03614607916600867,0.05,1.0
6,-69.51724785360857,755.3702007203544,9.931035407658367,5.6335268789133055,79.44828326126694,2.5643901275629095,15490.001905807421,10.879375796359206,301.7762328929493,32.46734312483348,-156.4674365452603,3.737037655081453,63.76428905045811,-0.6824559958555799,0.31666666666666665,9.0
7,-109.24138215903585,728.0887510163742,9.931034741730532,4.339100221388881,119.17241690076638,3.141592653589793,864.000070810324,6.8,231.23023625287652,-9.198126349293721,-205.74944630690882,11.505519809626936,112.37659775996875,0.0930694072919075,0.13333333333333333,3.0
8,-119.17242089633326,1187.819295836591,9.931035074694439,58.95663807598814,129.1034559710277,2.286502151935649,2304.0001373291097,10.6,255.87874289760057,70.88825150565684,-250.17087468065884,33.509047830284274,139.0424116972874,-1.0594499646148392,0.25,5.0
9,-119.17241690076638,453.5954687686728,9.931034741730532,51.44919087721055,129.1034516424969,2.8964180286070036,864.000070810324,6.566666666666666,175.81618555647916,-24.552720637418947,-98.5025221924855,75.30418655525615,35.564420696871466,-1.2541050007798742,0.18333333333333332,4.0
10,-119.17242089633326,590.7001961208397,9.931035074694439,29.47780851834264,129.1034559710277,2.904813265192787,2591.999845504816,7.8,227.76936664936838,-61.23255630939347,-85.91570491419897,98.9048736205374,0.32566728197260664,-0.6963555787822323,0.18333333333333332,5.0
11,-129.10342134278955,656.7067802392745,9.931032410983812,70.94689403405745,139.03445375377336,1.7572478914585836,2304.0001373291097,6.033333333333333,194.9509811877369,55.33846742536383,-108.06831692173667,21.6827161694584,94.32448035718299,-0.4745692720441358,0.35,9.0
12,-129.10342134278955,940.4765856480508,9.931032410983812,90.96717061665109,139.03445375377336,1.4794242756864833,1439.999776840261,6.066666666666666,167.8219504228975,99.23547323788672,-25.871316999459683,-10.881715264573586,28.61642153559232,0.005295733845505666,0.08333333333333333,2.0
13,-139.03448638422742,846.3759456227299,9.931034741730532,18.0,148.96552112595796,2.3208419738514108,2016.0001201629711,6.866666666666666,212.57948574113902,72.19378910601284,-168.47534926705478,-35.55119388848192,83.48854067077203,-0.7801639958128828,0.18333333333333332,5.0
14,-139.03444909228122,490.0860986164451,9.931032078020086,0.0,148.9654811703013,2.9159841964974285,1440.0000954866475,5.1,182.08581385849388,25.306707249656856,-105.1306027939732,-17.43329608611616,41.37267385292932,-0.342107671533908,0.18333333333333332,3.0
15,-139.03444909228122,753.3237004137028,9.931032078020086,104.98364166252713,148.9654811703013,3.141592653589793,4032.000278949758,11.142228228680477,136.20748761403857,59.28488281366266,59.69474078125182,-114.64212958635507,-26.789391004761214,1.6435506959232018,0.08333333333333333,1.0
16,-89.37931567224996,537.2562382405981,19.862070149388877,69.00916793969635,109.24138582163883,2.123814252988081,3743.9999141693706,7.266666666666667,244.79031761351214,-8.992443251720408,-0.4703314538637703,96.22423816236308,-41.87609381367498,-1.2990896232173659,0.25,5.0
17,-128.24847502392348,476.5610075293032,9.865267309532575,2.2838326559400026,138.11374233345606,3.042442375431941,2592.0001544952484,7.2,166.1507922815488,3.734813767235008,-49.429338022642284,-11.90259690210199,-29.435891859786167,-0.28125531285709066,0.11666666666666667,3.0
18,-139.03449104572212,169.05166607418218,9.931035074694439,3.0,148.96552612041657,3.0260208901085823,2016.0001587867882,3.4,72.13596031144694,-28.06756043925047,20.53234824999897,28.556944311800546,-33.9751571666161,1.1053626000716428,0.3,7.0
19,-139.03445375377336,969.148289920232,9.931032410983812,71.0,148.96548616475718,1.4012069920005763,575.9999570846693,5.4,186.5137427262343,110.60112567517974,10.78239400834141,-30.057259540674274,-1.4128564677665283,0.12104077989941062,0.05,1.0
20,-49.65517703829184,584.8552498618416,9.931035407658367,12.040188592643997,59.5862124459502,3.141592653589793,2016.0002263784688,5.749476396102695,147.80458030222516,-77.55440383056491,-2.538550127337487,58.66489071090102,-31.47192853564932,-0.03497517401078405,0.18333333333333332,5.0
21,-109.24138582163883,946.9808606001793,9.931035074694439,61.92983495638268,119.17242089633326,1.897943051175619,10368.000231742953,9.166666666666666,132.228157930032,98.14298055404679,36.97007623339932,-1.81997269037435,-45.43443365759164,0.05147755365379428,0.25,7.0
22,-39.724140298777755,542.4986560704522,9.931035074694439,17.349351572897472,49.65517537347219,3.0182863287873922,-3743.9994893075173,6.166666666666667,231.94546112362022,-40.88431531045338,-142.05697689814204,70.94493436554555,72.75736650952285,0.0862317483215425,0.13333333333333333,1.0
23,-99.3103507469444,945.853965095371,9.931035074694439,9.47870782795801,109.24138582163883,3.0847660674849378,7200.0006319285,10.066666666666666,258.774599593044,-30.983620987690703,-270.5722513007465,35.013342156908344,151.57416783215598,0.0032063171843133426,0.15,4.0
24,-59.58621044816664,1042.2749902862702,9.931035074694439,19.144615315303437,69.51724552286107,2.9393790191887192,6624.000134110523,12.433333333333334,267.69854881339546,-82.96946556266188,-210.22941507263567,92.53645243318363,75.69447423775755,-0.3096484936192514,0.35,10.0
25,-139.03449104572212,733.8411005382991,9.931035074694439,41.0,148.96552612041657,1.7772458110165108,2304.000060081502,5.833333333333333,182.86192476984738,80.7503210997493,-100.63667699158475,-20.89126697546356,79.30429309664532,-0.5330922867458804,0.18333333333333332,3.0
26,-129.1034559710277,1404.3463609813002,9.931035074694439,95.28503927874922,139.03449104572215,1.3479518861606106,1439.9997382164688,7.833333333333333,207.32947362862808,172.9950263503907,14.329197898144264,-79.12277516086994,13.283992754324116,0.17989662338824677,0.15,1.0
27,-109.24135652082194,842.8551645968786,9.931032410983812,9.96942142215732,119.17238893180576,3.141592653589793,1728.0000257492243,7.166666666666667,216.9930923704865,-137.71591855994305,11.238781707026597,128.70388353985558,-35.354618760235745,0.25818026784923187,0.11666666666666667,3.0
28,-129.1034559710277,364.5716698307185,9.931035074694439,4.679739196856199,139.03449104572215,3.141592653589793,1727.9996684790513,5.6,103.10648941308489,54.740157485546646,-17.23732222718157,-40.796548244043315,8.04363258826717,-0.07224914086033651,0.2833333333333333,8.0
29,-139.03449104572212,320.000705626161,9.931035074694439,19.0,148.96552612041657,3.141592653589793,2304.000060081502,3.7666666666666666,83.25428188530928,-2.7673207126731025,80.98673008098407,-11.671278827538291,-39.49027899877043,0.6259711296372051,0.25,5.0
30,-109.24138582163883,1077.5563135139798,9.931035074694439,81.7257878814223,119.17242089633326,1.802366907647524,0.0,6.633333333333334,233.4125819510677,110.39184840913511,-70.22790651355204,-16.4178133134108,18.4539088242565,-0.6461810222139909,0.0,0.0
31,-119.1724248919004,551.8398910004536,9.931035407658367,23.886313238531788,129.10346029955878,3.141592653589793,-864.0000611543701,3.933333333333333,251.87910945073358,-57.68602863951077,-92.23019859486703,35.19152708980609,46.67511432526278,-0.46536460844582056,0.11666666666666667,2.0
32,-59.58621044816663,81.81213106437431,19.862070149388877,2.158643717227535,79.44828059755551,3.118005391394007,575.9999570846823,1.8333333333333333,219.42282359597343,-5.24064241611114,-37.16059959699277,11.243437418397578,31.640612290177092,1.0693810668708568,0.26666666666666666,5.0
33,-139.03445375377336,656.2319926400932,9.931032410983812,49.0,148.96548616475718,1.5050482886989933,1727.9999774694577,6.1,160.11425771990605,73.8517926127202,-119.81341230416285,-17.53391551753966,139.1093455399603,-0.05680189332254822,0.11666666666666667,2.0
34,-109.24138582163883,672.9404251638919,9.931035074694439,37.47477729709069,119.17242089633326,3.141592653589793,6912.000411987329,10.3,278.8350270590061,-79.9552301532631,39.04185300339358,28.207551568563144,-47.38487936858119,0.0917736955148675,0.21666666666666667,4.0
